paper_id,title,url,year,authors,candidate_topic,source,paper_type,status,enrichment_status
28,"Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers",https://arxiv.org/abs/2603.07670,2026,Du,memory-context,alphaxiv-mcp,survey,ingested,enriched
29,Let the Agent Search: Autonomous Exploration Beats Rigid Workflows in Temporal Question Answering,https://arxiv.org/abs/2603.01853,2026,Lv et al.,search-retrieval,alphaxiv-mcp,system,ingested,enriched
30,Agentic Software Engineering: Foundational Pillars and a Research Roadmap,https://arxiv.org/abs/2509.06216,2025,Hassan et al.,software-agents,alphaxiv-mcp,position,ingested,enriched
31,Intelligent AI Delegation,https://arxiv.org/abs/2602.11865,2026,Tomasev et al.,task-allocation,alphaxiv-mcp,position,ingested,enriched
32,"Large Language Model Agent: A Survey on Methodology, Applications and Challenges",https://arxiv.org/abs/2503.21460,2025,Luo et al.,llm-multi-agent-systems,alphaxiv-mcp,survey,ingested,enriched
33,Chain-of-Symbol Prompting Elicits Planning in Large Langauge Models,https://arxiv.org/abs/2305.10276,2023,Hu et al.,task-allocation,alphaxiv-mcp,application,ingested,enriched
34,Buffer of Thoughts: Thought-Augmented Reasoning with Large Language Models,https://arxiv.org/abs/2406.04271,2024,Yang et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
35,Chain of Draft: Thinking Faster by Writing Less,https://arxiv.org/abs/2502.18600,2025,Xu et al.,llm-multi-agent-systems,alphaxiv-mcp,application,ingested,enriched
36,"Generative to Agentic AI: Survey, Conceptualization, and Challenges",https://arxiv.org/abs/2504.18875,2025,Schneider,llm-multi-agent-systems,alphaxiv-mcp,survey,ingested,enriched
37,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,https://arxiv.org/abs/2504.19413,2025,Chhikara et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
38,Zep: A Temporal Knowledge Graph Architecture for Agent Memory,https://arxiv.org/abs/2501.13956,2025,Rasmussen et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
39,SimpleMem: Efficient Lifelong Memory for LLM Agents,https://arxiv.org/abs/2601.02553,2026,Liu et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
40,Evaluating Very Long-Term Conversational Memory of LLM Agents,https://arxiv.org/abs/2402.17753,2024,Maharana et al.,agent-evaluation,alphaxiv-mcp,benchmark,ingested,enriched
41,Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents,https://arxiv.org/abs/2601.01885,2026,Yu et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
42,EverMemOS: A Self-Organizing Memory Operating System for Structured Long-Horizon Reasoning,https://arxiv.org/abs/2601.02163,2026,Hu et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
43,Memory Matters More: Event-Centric Memory as a Logic Map for Agent Searching and Reasoning,https://arxiv.org/abs/2601.04726,2026,Hu et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
44,Beyond RAG for Agent Memory: Retrieval by Decoupling and Aggregation,https://arxiv.org/abs/2602.02007,2026,Hu et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
45,MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning,https://arxiv.org/abs/2601.18204,2026,Ye et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
46,Evaluating Memory Structure in LLM Agents,https://arxiv.org/abs/2602.11243,2026,Shutova et al.,agent-evaluation,alphaxiv-mcp,benchmark,ingested,enriched
47,EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair,https://arxiv.org/abs/2506.10484,2025,Mu et al.,software-agents,alphaxiv-mcp,system,ingested,enriched
48,SWE-Exp: Experience-Driven Software Issue Resolution,https://arxiv.org/abs/2507.23361,2025,Chen et al.,software-agents,alphaxiv-mcp,system,ingested,enriched
49,Structurally Aligned Subtask-Level Memory for Software Engineering Agents,https://arxiv.org/abs/2602.21611,2026,Shen et al.,software-agents,alphaxiv-mcp,system,ingested,enriched
50,Improving Code Localization with Repository Memory,https://arxiv.org/abs/2510.01003,2025,Wang et al.,software-agents,alphaxiv-mcp,system,ingested,enriched
51,Context as a Tool: Context Management for Long-Horizon SWE-Agents,https://arxiv.org/abs/2512.22087,2025,Liu et al.,software-agents,alphaxiv-mcp,system,ingested,enriched
52,CodeMEM: AST-Guided Adaptive Memory for Repository-Level Iterative Code Generation,https://arxiv.org/abs/2601.02868,2026,Wang et al.,software-agents,alphaxiv-mcp,system,ingested,enriched
53,From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents,https://arxiv.org/abs/2505.23422,2025,Lindenbauer et al.,software-agents,alphaxiv-mcp,system,ingested,enriched
54,Recursive Language Models,https://arxiv.org/abs/2512.24601,2025,Zhang et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
55,Recursive Models for Long-Horizon Reasoning,https://arxiv.org/abs/2603.02112,2026,Yang et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
56,Thinking Deeper with Recursive Spawning,https://arxiv.org/abs/2405.17402,2024,Schroeder et al.,llm-multi-agent-systems,alphaxiv-mcp,system,ingested,enriched
57,Recursive Introspection: Teaching Language Model Agents How to Self-Improve,https://arxiv.org/abs/2407.18219,2024,Qu et al.,llm-multi-agent-systems,alphaxiv-mcp,system,ingested,enriched
58,Scaling up Test-Time Compute with Latent Reasoning: A Recurrent Depth Approach,https://arxiv.org/abs/2502.05171,2025,Geiping et al.,llm-multi-agent-systems,alphaxiv-mcp,system,ingested,enriched
59,Pushdown Layers: Encoding Recursive Structure in Transformer Language Models,https://arxiv.org/abs/2310.19089,2023,Murty et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
60,Transformer-Based Models Are Not Yet Perfect At Learning to Emulate Structural Recursion,https://arxiv.org/abs/2401.12947,2024,Zhang et al.,agent-evaluation,alphaxiv-mcp,benchmark,ingested,enriched
61,RoCo: Dialectic Multi-Robot Collaboration with Large Language Models,https://arxiv.org/abs/2307.04738,2023,Mandi et al.,llm-multi-agent-systems,alphaxiv-mcp,system,ingested,enriched
62,A Dynamic LLM-Powered Agent Network for Task-Oriented Agent Collaboration,https://arxiv.org/abs/2310.02170,2023,Liu et al.,llm-multi-agent-systems,alphaxiv-mcp,system,ingested,enriched
63,AgentBench: Evaluating LLMs as Agents,https://arxiv.org/abs/2308.03688,2023,Liu et al.,agent-evaluation,alphaxiv-mcp,benchmark,ingested,enriched
64,Task and Motion Planning with Large Language Models for Object Rearrangement,https://arxiv.org/abs/2303.06247,2023,Ding et al.,software-agents,alphaxiv-mcp,system,ingested,enriched
65,Building Cooperative Embodied Agents Modularly with Large Language Models,https://arxiv.org/abs/2307.02485,2023,Zhang et al.,llm-multi-agent-systems,alphaxiv-mcp,system,ingested,enriched
66,Scalable Multi-Robot Collaboration with Large Language Models: Centralized or Decentralized Systems?,https://arxiv.org/abs/2309.15943,2024,Chen et al.,llm-multi-agent-systems,alphaxiv-mcp,system,ingested,enriched
67,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",https://arxiv.org/abs/2311.05232,2023,Huang et al.,hallucination-factuality,alphaxiv-mcp,survey,ingested,enriched
68,A Comprehensive Survey of Hallucination Mitigation Techniques in Large Language Models,https://arxiv.org/abs/2401.01313,2024,Tonmoy et al.,hallucination-factuality,alphaxiv-mcp,survey,ingested,enriched
69,"Survey on Factuality in Large Language Models: Knowledge, Retrieval and Domain-Specificity",https://arxiv.org/abs/2310.07521,2023,Wang et al.,hallucination-factuality,alphaxiv-mcp,survey,ingested,enriched
70,The Dawn After the Dark: An Empirical Study on Factuality Hallucination in Large Language Models,https://arxiv.org/abs/2401.03205,2024,Li et al.,hallucination-factuality,alphaxiv-mcp,application,ingested,enriched
71,Chain-of-Verification Reduces Hallucination in Large Language Models,https://arxiv.org/abs/2309.11495,2023,Dhuliawala et al.,hallucination-factuality,alphaxiv-mcp,application,ingested,enriched
72,Semantic Entropy Probes: Robust and Cheap Hallucination Detection in LLMs,https://arxiv.org/abs/2406.15927,2024,Farquhar et al.,hallucination-factuality,alphaxiv-mcp,application,ingested,enriched
73,Verify when Uncertain: Beyond Self-Consistency in Black Box Hallucination Detection,https://arxiv.org/abs/2502.15845,2025,Xue et al.,hallucination-factuality,alphaxiv-mcp,application,ingested,enriched
74,MemoTime: Memory-Augmented Temporal Knowledge Graph Enhanced Large Language Model Reasoning,https://arxiv.org/abs/2510.13614,2025,Tan et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
75,LiCoMemory: Lightweight and Cognitive Agentic Memory for Efficient Long-Term Reasoning,https://arxiv.org/abs/2511.01448,2025,Huang et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
76,FLEX: Continuous Agent Evolution via Forward Learning from Experience,https://arxiv.org/abs/2511.06449,2025,Cai et al.,memory-context,alphaxiv-mcp,system,ingested,enriched
77,MuSiQue: Multihop Questions via Single-hop Question Composition,https://arxiv.org/abs/2108.00573,2021,Trivedi et al.,agent-evaluation,alphaxiv-mcp,benchmark,ingested,enriched
78,REPOAUDIT: An Autonomous LLM-Agent for Repository-Level Code Auditing,https://arxiv.org/abs/2501.18160,2025,Guo et al.,software-agents,alphaxiv-mcp,system,ingested,enriched
79,TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation,https://arxiv.org/abs/2510.23010,2025,Shen and Joung,software-agents,alphaxiv-mcp,system,ingested,enriched
